32126|Abel, Franklin|Freudian Slip|PS|Psychoanalysis -- Fiction; Short stories; Science fiction|32126.txt
31762|Abernathy, Robert (1924-1990)|The Record of Currupira|PS|Science fiction; Short stories|31762-8.txt
32068|Abernathy, Robert (1924-1990)|World of the Drone|PS|Science fiction|32068.txt
32836|Abernathy, Robert (1924-1990)|When the Mountain Shook|PS|Science fiction; Short stories|32836.txt
35879|Abernathy, Robert (1924-1990)|The Rotifers|PS|Science fiction; Short stories|35879-0.txt
32579|Ackerman, Forrest J. (1916-2008)|Micro-Man|PS|Short stories; Science fiction|32579.txt
28535|Ackerman, Forrest J. (1916-2008)|Out of This World Convention|PN|Science fiction -- Congresses; World Science Fiction Convention (14th : 1956 : New York, N.Y.)|28535.txt
32785|Allerton, J. J.|Once Upon A Planet|PS|Science fiction; Short stories|32785.txt
30971|Anderson, Poul (1926-2001)|Industrial Revolution|PS|Science fiction|30971.txt
32436|Anderson, Poul (1926-2001)|Duel on Syrtis|PS|Science fiction; Mars (Planet) -- Fiction; Short stories|32436.txt
22239|Anderson, Poul (1926-2001)|Security|PS|Science fiction|22239.txt
31501|Anderson, Poul (1926-2001)|The Sensitive Man|PS|Science fiction|31501.txt
37653|Anderson, Poul (1926-2001)|Sentiment, Inc.|PS|Man-woman relationships -- Fiction; Science fiction|37653.txt
38287|Apostolides, Alex (1923-2005); Clifton, Mark (1906-1963)|We're Civilized!|PS|Mars (Planet) -- Fiction; Martians -- Fiction; Science fiction; Human-alien encounters -- Fiction; Short stories|38287-8.txt
36867|Apostolides, Alex (1923-2005); Clifton, Mark (1906-1963)|Progress Report|PS|Space ships -- Fiction; Space flight -- Fiction; Short stories; Science fiction|36867.txt
949|Appleton, Victor|Tom Swift and His Submarine Boat; Or, Under the Ocean for Sunken Treasure|PZ|Swift, Tom (Fictitious character) -- Juvenile fiction; Submarines (Ships) -- Juvenile fiction; Science fiction; Treasure troves -- Juvenile fiction|949.txt
19258|Appleton, Victor, II|Tom Swift and the Electronic Hydrolung|PZ|Swift, Tom (Fictitious character) -- Juvenile fiction; Science fiction|19258.txt
27392|Archer, Lee|Lease to Doomsday|PS|Science fiction; Short stories|27392.txt
29303|Archibald, Joe (1898-1986)|Operation Earthworm|PS|Science fiction; Short stories|29303.txt
32719|Arr, Stephen (1921-2012)|Mr. President|PS|Political fiction; Science fiction; Short stories|32719.txt
32160|Arr, Stephen (1921-2012)|Chain of Command|PS|Short stories; Mice -- Fiction; Science fiction|32160.txt
29618|Arthur, Robert (1909-1969)|The Aggravation of Elmer|PS|Short stories; Science fiction|29618.txt
23688|Arthur, Robert (1909-1969)|The Indulgence of Negu Mah|PS|Short stories; Science fiction|23688.txt
30427|Ashwell, Pauline|The Lost Kafoozalum|PR|Science fiction|30427-8.txt
31547|Asimov, Isaac (1920-1992)|Youth|PS|Human-alien encounters -- Fiction; Science fiction|31547.txt
33513|Austen, Sidney|The Frightened Planet|PS|Science fiction; Short stories|33513.txt
31599|Aycock, Roger D. (1914-2004)|To Remember Charlie By|PS|Florida -- Fiction; Parapsychology -- Fiction; Children with disabilities -- Fiction; Short stories; Science fiction|31599.txt
23103|Aycock, Roger D. (1914-2004)|Traders Risk|PS|Science fiction; Short stories|23103.txt
32212|Aycock, Roger D. (1914-2004)|Clean Break|PS|Short stories; Veterinarians -- Fiction; Science fiction; Human-alien encounters -- Fiction|32212-8.txt
24949|Aycock, Roger D. (1914-2004)|Control Group|PS|Short stories; Science fiction, American|24949.txt
32665|Aycock, Roger D. (1914-2004)|The Anglers of Arz|PS|Human-alien encounters -- Fiction; Short stories; Science fiction|32665.txt
33839|Aycock, Roger D. (1914-2004)|Problem on Balak|PS|Short stories; Identity -- Fiction; Human-alien encounters -- Fiction; Science fiction|33839.txt
32209|Aycock, Roger D. (1914-2004)|Assignment's End|PS|Psychological fiction; Science fiction; Short stories|32209.txt
32344|Aycock, Roger D. (1914-2004)|Pet Farm|PS|Science fiction; Short stories|32344.txt
